"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1393","Poezia shqipe","Koci Petriti","5","Dollapi 7",""
"1394","Drama e Sakes","Vath Koreshi","9","Dollapi 7",""
"1395","Poezi","Rahman Dedaj","5","Dollapi 7",""
"1396","Ditë njerëzore","Bardhyl Londo","3","Dollapi 7",""
"1397","Tregime të zgjedhura","Vath Koreshi","2","Dollapi 7",""
"1398","Mars","Vath Koreshi","1","Dollapi 7",""
"1399","Nomeja e largët","Faik Ballanca","2","Dollapi 7",""
"1400","Larg dhe afër","Nasho Jorgaqi","5","Dollapi 7",""
"1401","Tregime të zgjedhura","Nasho Jorgaqi","6","Dollapi 7",""
"1402","Dasmë e cuditshme","Sotir Andoni","8","Dollapi 7",""
"1403","Te ky themel","Militano Stefa","4","Dollapi 7",""
"1404","Përballë hekurave të kryqëzuar","Kolë Jakova","4","Dollapi 7",""
"1405","Prag feste","Petraq Kita","4","Dollapi 7",""
"1406","Gurët","Agim Isaku","2","Dollapi 7",""
"1407","Mërgata e qyteteve 1","Nasho Jorgaqi","3","Dollapi 7",""
"1408","Mërgata e qyteteve 2","Nasho Jorgaqi","1","Dollapi 7",""
"1409","Lëshoma hisen e Diellit","Adem Istrefi","1","Dollapi 7",""
"1410","Muza 2","Grup autorësh","1","Dollapi 7",""
"1411","Gjergj Kastrioti","Mirosh Merkaj","1","Dollapi 7",""
"1412","Kohë e krisur","Xhevahir Spahiu","1","Dollapi 7",""
"1413","Heshtje s'ka","Xhevahir Spahiu","1","Dollapi 7",""
"1414","Brigjeve të Erzenit","Skënder Josa","1","Dollapi 7",""
"1415","Arkitektura e zemrës","Agim Shehu","10","Dollapi 7",""
"1416","Libri i të mallkuarve","Jusuf Buxhovi","3","Dollapi 7",""
"1417","Agime shqiptare","Xhevahir Spahiu","2","Dollapi 7",""
"1420","Ndjenja po rrit brezat","Tonin Shtjefri","2","Dollapi 11",""
"1421","Familja sociale dhe struktura e saj","Lara Aliu","","Dollapi 11",""
"1422","Elementet te teoris speciale te relativitetit","Italil Sykja","1","Dollapi 11",""
"1423","Bota letrar","","2","Dollapi 11","Roman"
"1424","Mesimdhenesit e historis moderne te Evropes Juglindore","Dr.L.Sutton-R.sutton","5","Dollapi 11",""
"1425","Lufta e Kosoves","Eric Laurent","10","Dollapi 11","Histori"
"1426","Aspekte te mendimit politik shoqeror shqiptaro 1913-1915","Gazmend Shpuza","1","Dollapi 11",""
"1427","Zbathur","Flutura Acka","1","Dollapi 11","Roman"
"1428","Kryqi I harreses","Flutra Acka","1","Dollapi 11","Roman"
"1429","Aleksander Moisiu","Vangjel Moisiu","1","Dollapi 11",""
"1430","Shkolla normale Luigj Gurakuqi Elbasan","Trendafili","2","Dollapi 11",""
"1431","Kush foli Zarathustra","Friedrich Nietische","2","Dollapi 11",""
"1432","V.L.8","Sterio Spasse","1","Dollapi 11",""
"1433","V.L.9","Sterio Spasse","1","Dollapi 11",""
"1434","Poezia+Proz 1","Drago Siliqi","2","Dollapi 11",""
"1435","Poezi+Proz 2","Drago Siliqi","1","Dollapi 11",""
"1436","Poezia 1","Ziuni Seko","2","Dollapi 11",""
"1437","Tregime/Publistike 2","-//-","","Dollapi 11",""
"1438","Novela 3","-//-","","Dollapi 11",""
"1439","Romani 1","Jakov Xoxa","","Dollapi 11",""
"1440","-//- 3","-//-","2","Dollapi 11",""
"1441","-//- 5","-//-","","Dollapi 11",""
"1442","-//- 6","-//-","2","Dollapi 11",""
"1443","Prova gjaku","Hysni Daja","","Dollapi 11",""
"1444","Tregime","","","Dollapi 11",""
"1445","Celsa per te hapur thesarin","Ndricim Kulla-Dritan Thomalli","","Dollapi 11",""
"1446","Historia e Skenderbeut","Naim Frasheri","3","Dollapi 11",""
"1447","Dita e Veres","Thomas Meksi","","Dollapi 11",""
"1448","Valixhja diplomatike","Pietro Kuaroni","","Dollapi 11",""
"1449","Hija e Maleve","Ernes Koliqi","","Dollapi 11",""
